,conference,acronynm,rank,area_of_research
0,Asian Conference on Machine Learning,ACML,Unranked,Artificial Intelligence and Image Processing†
1,International Conference on Advanced Communications and Computation,INFOCOMP,Unranked,Distributed Computing†
2,"International Conference on Ambient Systems, Networks and Technologies",ANT,Unranked,Distributed computing and systems software
3,"ACIS Conference on Software Engineering Research, Management and Applications",SERA,C,Computer Software†
4,"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",SIGCOMM,A*,Computer Software†
5,ACM Conference on Computer and Communications Security,CCS,A*,Computer Software†
6,ACM Conference on Computer Supported Cooperative Work,CSCW,A,Information Systems†
7,ACM Conference on Economics and Computation,EC,A*,Information Systems†
8,ACM Conference on Embedded Networked Sensor Systems,SENSYS,A*,Computer Hardware†
9,ACM Conference on Embedded Software,EMSOFT,A,Communications Technologies†
10,ACM Conference on Object Oriented Programming Systems Languages and Applications,OOPSLA,A*,Computer Software†
11,ACM Information Technology Education,SIGITE,National: USA,Information and Computing Sciences†
12,"ACM International Conference on Advances in Computer Entertainment (merged with DIMEA, Digital Interactive Media in Entertainment and Arts, in 2009)",ACE,B,Design Practice and Management†
13,ACM International Conference on Advances in Geographic Information Systems,SIGSPATIAL,National: USA,Information Systems†
14,ACM International Conference on Emerging Networking Experiments and Technologies,CoNEXT,A,Distributed Computing†
15,ACM International Conference on Information and Knowledge Management,CIKM,A,Information Systems†
16,ACM International Conference on Interactive Surfaces and Spaces (was International Workshop on Horizontal Interactive Human-Computer Systems: Tabletop),ISS,A,Information Systems†
17,ACM International Conference on Knowledge Discovery and Data Mining,KDD,A*,Data Format†
18,ACM International Conference on Mobile Computing and Networking,MOBICOM,A*,Computer Hardware†
19,ACM International Conference on Recommender Systems,RecSys,B,"Rank change from B to A rejected. Borderline, but not unequivocally A.
            
            
            (Data)"
20,ACM International Conference on Research and Development in Information Retrieval,SIGIR,A*,Information Systems†
21,ACM International Conference on Supercomputing,ICS,A,Distributed Computing†
22,ACM International Conference on Web Search and Data Mining,WSDM,A*,"Field of Research 0807 added
            
            
            (Data)"
23,ACM International Joint Conference on Pervasive and Ubiquitous Computing (PERVASIVE and UbiComp combined from 2013),UbiComp,journal published,Distributed Computing†
24,ACM International Symposium on Computer Architecture,ISCA,A*,Computer Software†
25,ACM International Symposium on High Performance Distributed Computing,HPDC,A,Distributed Computing†
