ERA Journal Id,Title,Foreign Title,FoR 1,FoR 1 Name,FoR 2,FoR 2 Name,FoR 3,FoR 3 Name,ISSN 1,ISSN 2,ISSN 3,ISSN 4,ISSN 5,ISSN 6,ISSN 7,,,,,,
1,Abstract and Applied Analysis,,0101,Pure Mathematics,,,,,1085-3375,1687-0409,,,,,,,,,,,
2,ACM Transactions on Mathematical Software,,0802,Computation Theory and Mathematics,0806,Information Systems,,,0098-3500,1557-7295,,,,,,,,,,,
3,Acta Applicandae Mathematicae,,0101,Pure Mathematics,0102,Applied Mathematics,0202,"Atomic, Molecular, Nuclear, Particle and Plasma Physics",0167-8019,1572-9036,,,,,,,,,,,
4,Acta Arithmetica,,0101,Pure Mathematics,0802,Computation Theory and Mathematics,,,0065-1036,1730-6264,,,,,,,,,,,
5,Acta Mathematica,,0101,Pure Mathematics,,,,,0001-5962,1871-2509,,,,,,,,,,,
6,Studia Universitatis Babes-Bolyai Mathematica,,0101,Pure Mathematics,,,,,0252-1938,,,,,,,,,,,,
7,Acta Mathematica Hungarica,,0101,Pure Mathematics,,,,,0236-5294,1588-2632,,,,,,,,,,,
9,Acta Mathematica Sinica,,0101,Pure Mathematics,,,,,0583-1431,1439-7617,1439-8516,,,,,,,,,,
10,Acta Mathematica Vietnamica,,0101,Pure Mathematics,,,,,0251-4184,,,,,,,,,,,,
11,Acta Numerica,,0102,Applied Mathematics,0103,Numerical and Computational Mathematics,,,0962-4929,1474-0508,,,,,,,,,,,
12,Idea (Chicago),,13,Education,,,,,1523-1712,,,,,,,,,,,,
13,Advanced Nonlinear Studies,,0101,Pure Mathematics,,,,,1536-1365,,,,,,,,,,,,
14,Information Resources Management Journal,,0806,Information Systems,0807,Library and Information Studies,,,1040-1628,1533-7979,,,,,,,,,,,
16,Advances in Applied Mathematics,,0101,Pure Mathematics,0102,Applied Mathematics,,,0196-8858,1090-2074,,,,,,,,,,,
17,Advances in Computational Mathematics,,0102,Applied Mathematics,0103,Numerical and Computational Mathematics,0802,Computation Theory and Mathematics,1019-7168,1572-9044,,,,,,,,,,,
18,Advances in Differential Equations,,0101,Pure Mathematics,0103,Numerical and Computational Mathematics,,,1079-9389,,,,,,,,,,,,
19,Advances in Geometry,,0101,Pure Mathematics,,,,,1615-715X,1615-7168,,,,,,,,,,,
20,Advances in Mathematics,,0101,Pure Mathematics,,,,,0001-8708,1090-2082,,,,,,,,,,,
21,Advances in Theoretical and Mathematical Physics,,0105,Mathematical Physics,0206,Quantum Physics,,,1095-0753,1095-0761,,,,,,,,,,,
22,Aequationes Mathematicae,,0101,Pure Mathematics,,,,,0001-9054,1420-8903,,,,,,,,,,,
24,Algebraic and Geometric Topology,,0101,Pure Mathematics,,,,,1472-2739,1472-2747,,,,,,,,,,,
25,Algebras and Representation Theory,,0101,Pure Mathematics,,,,,1386-923X,1572-9079,,,,,,,,,,,
